box,item,author,title,isbn,publisher
7,Book,Edmund Husserl,Idees directrices pour une phenomenologie,9782070703470,
7,Book,Ama Adhe,The Voice that Remembers,0861711491,
7,Book,John Stuart Mill,Autobiography,9781604503142,
7,Book,Dorota Mastowska,Tchatche ou creve,9782882502087,
7,Book,Milan Kundera,Ignorance,0571215505,
7,Book,Peter Frankopan,The New Silk Roads,9781526607423,
7,Book,Gunter Grass,The Box,9781846553073,
7,Book,Henry Paolucci,Hegel: On the Arts,0918680964,
7,Book,Anais Nin,Journal 1931-1934,,"Stock, 1970"
7,Book,Philip Pullman,The Good Man Jesus and the Scoundrel Christ,9780857860071,
7,Book,Robert Doisneau,,Taschen,
7,Book,A. El-Shiha,Premiers pas en Islam,9782917850022,
7,Book,Christopher Lasch,The Minimal Self,0393019225,
7,Book,Miguel de Cervantes,The Adventures of Don Quixote de la Mancha,,"J. M. Dent & Sons Ltd, 1931"
7,Book,Roger Scruton,"Fools, Frauds and Firebrands",9781472965219,
7,Book,Roger Scruton,The Aesthetic Understanding,0416361609,
7,Book,C. H. Lawrence,Medieval Monasticism,0582017270,
7,Book,Jack Posobiec,Citizens for Trump,9781546936534,
7,Book,Jack Posobiec,4D Warfare,9789527065655,
7,Book,Ludwig Wittgenstein,Tractatus Logico-philosophicus,0710079230,
7,Book,Ursula K. Le Guin,Tao Te Ching,9781570623950,
7,Book,Plato,Ion and Hippias Major,0915145774,
7,Book,Baltasar Gracian,The Art of Wordly Wisdom,0486440346,
7,Book,Brahim Hadj Slimane,Les annees noires du journalisme en Algerie,9782849241776,
7,Book,Michel Houellebecq,La carte et la territoire,9782081246331,
7,Book,Michael T. Flynn,The Field of Fight,9781250131621,
7,Book,Henry Miller,Quiet Days in Clichy,080213016X,
7,Book,Aristotle,Poetics,048629577X,
7,Book,Friedrich Nietzsche,Beyond Good and Evil,048629868X,
7,Book,Friedrich Nietzsche,Thus Spake Zarathustra,0486406636,
7,Book,Joseph A. Schumpeter,"Capitalism, Socialism and Democracy",9780061561610,
7,Book,Eileen Chang,Naked Earth,9781590178348,
7,Book,Eileen Chang,Love in a Fallen City,9781590171783,
7,Book,Voltaire,Lettres philosophiques,2842053907,
7,Book,Pierre Kropotkine,La morale anarchiste,9782842058371,
7,Book,Gustave Flaubert,Novembre,2842056205,
7,Book,Simone Weil,Amitie,9782743635961,
7,Book,Baltasar Gracian,How to Use Your Enemies,9780141398273,
7,Book,Andre Gide,La Symphonie Pastorale,245577335,
7,Book,Mallanaga Vatsyayana,Kama Sutra,9789380936895,
7,Book,Mallanaga Vatsyayana,Kama Sutra,9789380936956,
7,Book,Various,The Little Book of Chinese Proverbs,1842738283,
7,Book,J.T. LeRoy,Harold’s End,0867196149,
7,Book,Henri Alleg,The Question,,"George Braziller Inc., 1958"
7,Book,Laura Ingalls Wilder,Little House on the Prairie,9781405264143,
7,Book,Gustave Flaubert,Madame Bovary,,"Librairie Joseph Gibert, 1946"
8,Sleeping bag,,,,
8,Decorative dog,,,,
8,Decorative sheep,,,,
8,Car Jack,,,,
8,Book,Roger Faligot et Jean Guisnel,Histoire secrete de la Ve republique,9782707153500,
8,Book,Edgar Allen Poe,Selected Poems,0460878042,
8,Book,"Roy, Chomsky, Galtung and Pinter",War Is Peace,0851246605,
8,Book,Pat Conway,The Very Best Irish Songs and Ballads,1857200942,
8,Book,Barbara Hodgson,Opium,0285635891,
8,Book,Walt Disney,Winnie the Pooh,9781913265960,
8,Book,Walt Disney,The Jungle Book,9781912396306,
8,Book,Walt Disney,Alice in Wonderland,9781912396672,
8,Book,Henrietta Green,Recipes from an English Country Garden,094655546X,
8,Book,Helen Oxenbury,Nursery Collection,9781405267427,
8,Book,Ulrich Bischoff,Edward Munch,,Taschen
